id,label,name,attributes
Abhaya lavana,Formulation,Abhaya lavana,"{""dosage"": ""1 to 2 g"", ""preparation_method"": """"}"
Abhaya vati,Formulation,Abhaya vati,"{""dosage"": ""60mg"", ""preparation_method"": """"}"
Abhayarista,Formulation,Abhayarista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Abhraka Bhasma,Formulation,Abhraka Bhasma,"{""dosage"": ""125-250 mg; 250 to 500 mg; 125- 250 mg"", ""preparation_method"": """"}"
Abhraka sodhana,Formulation,Abhraka sodhana,"{""dosage"": ""Sodhana"", ""preparation_method"": """"}"
Agasthya Rasayana,Formulation,Agasthya Rasayana,"{""dosage"": ""3-5 gm; 15 gm"", ""preparation_method"": """"}"
Agastya Haritaki,Formulation,Agastya Haritaki,"{""dosage"": ""6 to 12 g"", ""preparation_method"": """"}"
Agnimukha churna,Formulation,Agnimukha churna,"{""dosage"": ""3-6g"", ""preparation_method"": """"}"
Agnitundi Vati,Formulation,Agnitundi Vati,"{""dosage"": ""125 to 250 mg"", ""preparation_method"": """"}"
Ahiphena sodhana,Formulation,Ahiphena sodhana,"{""dosage"": ""Sodhana"", ""preparation_method"": """"}"
Ahiphenasava,Formulation,Ahiphenasava,"{""dosage"": ""5 to 10 drops"", ""preparation_method"": """"}"
Ajamoda Arka,Formulation,Ajamoda Arka,"{""dosage"": ""10 to 20 ml per day in divided doses"", ""preparation_method"": """"}"
Ajamodadi churna,Formulation,Ajamodadi churna,"{""dosage"": ""3 to 6 g"", ""preparation_method"": """"}"
Ajamoderka,Formulation,Ajamoderka,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Ajirna kantaka rasa,Formulation,Ajirna kantaka rasa,"{""dosage"": ""125 mg to 250 mg"", ""preparation_method"": """"}"
Ajmodadi Curna,Formulation,Ajmodadi Curna,"{""dosage"": ""2-3 gm"", ""preparation_method"": """"}"
Akika Pishti,Formulation,Akika Pishti,"{""dosage"": ""125mg-250mg"", ""preparation_method"": """"}"
Akika bhasma,Formulation,Akika bhasma,"{""dosage"": ""125-500mg"", ""preparation_method"": """"}"
